value,membership1,Yr1,membership2,Yr2,combo,comm
0.463,1,Year1,2,Year1,TRUE,1_2
0.85,1,Year2,2,Year2,TRUE,1_2
0.018,1,Year3,2,Year3,TRUE,1_2
0.12,1,Year2,3,Year2,TRUE,1_3
0.125,2,Year2,3,Year2,TRUE,2_3
0,1,Year3,3,Year3,TRUE,1_3
0,2,Year3,3,Year3,TRUE,2_3
0.171,1,Year2,4,Year2,TRUE,1_4
0.193,2,Year2,4,Year2,TRUE,2_4
0.836,3,Year2,4,Year2,TRUE,3_4
0,1,Year2,5,Year2,TRUE,1_5
0,2,Year2,5,Year2,TRUE,2_5
0,3,Year2,5,Year2,TRUE,3_5
0,4,Year2,5,Year2,TRUE,4_5
0.146,1,Year2,6,Year2,TRUE,1_6
0.151,2,Year2,6,Year2,TRUE,2_6
0.916,3,Year2,6,Year2,TRUE,3_6
1.237,4,Year2,6,Year2,TRUE,4_6
0,5,Year2,6,Year2,TRUE,5_6
